Tract ID,Population 2010,Population 2000,White 2010,White 2000,Black or African American 2010,Black or African American 2000,American Indian and Alaska Native 2010,American Indian and Alaska Native 2000,Asian 2010,Asian 2000,Native Hawaiian and Other Pacific Islander 2010,Native Hawaiian and Other Pacific Islander 2000,Other Race 2010,Other Race 2000,Two or More Races 2010,Two or More Races 2000,Not Hispanic or Latino 2010,Not Hispanic or Latino 2000,Hispanic or Latino 2010,Hispanic or Latino 2000,Male 2010,Male 2000,Female 2010,Female 2000,Median Age 2010,Median Age 2000,Households 2010,Households 2000,Family Households 2010,Family Households 2000,Husband-wife family 2010,Husband-wife family 2000,Male no wife present 2010,Male no wife present 2000,Female no husband present 2010,Female no husband present 2000,Living alone 2010,Living alone 2000,Living with roommates 2010,Living with roommates 2000,Households with over-60's 2010,Households with over-60's 2000
026402,4118,4109,681,3938,431,747,22,610,2321,16,31,2084,478,42,154,439,3243,812,875,3297,2061,2047,2057,2062,39.2,35.9,1108,1058,858,131,589,62,79,927,190,858,174,300,174,300,522,184
020400,,6742,,6518,,5488,,184,,36,,654,,9,,147,,497,,6245,,4324,,2418,,39.0,,4097,,2044,,1361,,2053,,785,,137,,137,,223
020401,2846,,2285,,59,,9,,320,,2,,65,,106,,2635,,211,,1801,,1045,,42.8,,1591,,356,,285,,27,,44,,692,,692,,383,
011200,3286,3700,1929,3619,52,2168,3,39,1150,3,6,1374,62,3,84,32,3098,102,188,3598,1559,1818,1727,1882,43.6,42.3,1858,2089,634,1057,528,484,33,1032,73,742,924,146,924,146,706,349
042601,3687,,1867,,47,,16,,1463,,2,,113,,179,,3408,,279,,1718,,1969,,40.9,,1679,,871,,655,,80,,136,,585,,585,,597,
060400,1689,1518,1025,1442,73,897,5,107,415,3,6,394,74,3,91,38,1512,116,177,1402,797,772,892,746,41,36.4,1001,896,303,447,217,236,29,449,57,311,550,67,550,67,348,89
017902,2880,1453,1011,1387,724,949,37,177,525,8,28,166,260,9,295,78,2217,148,663,1305,1561,858,1319,595,26.2,25.4,656,460,346,50,136,30,50,410,160,159,74,43,74,43,59,0
017000,3689,3775,3110,3680,52,3280,6,77,317,9,5,235,67,9,132,70,3404,234,285,3541,2372,2510,1317,1265,44.1,41.1,2125,2226,492,1053,407,702,36,1173,49,450,978,98,978,98,586,168
021600,3836,3880,2497,3707,216,2627,12,268,744,6,25,650,120,15,222,141,3462,341,374,3539,2143,2193,1693,1687,43.8,41.7,2026,2101,758,919,593,506,54,1182,111,723,860,166,860,166,647,184
010100,3739,2879,1858,2790,256,1771,7,163,1345,5,23,750,112,23,138,78,3453,209,286,2670,1754,1456,1985,1423,38.7,37.7,2090,1760,713,1029,503,532,37,731,173,496,1100,86,1100,86,714,250
012401,5075,,1830,,529,,62,,1279,,20,,1119,,236,,3223,,1852,,3274,,1801,,37.5,,2698,,752,,397,,192,,163,,1627,,1627,,699,
012400,,8188,,7667,,3992,,700,,93,,2229,,34,,619,,1677,,6511,,5059,,3129,,34.5,,4328,,2677,,1853,,1651,,1130,,287,,287,,345
012402,3974,,2031,,424,,40,,907,,9,,351,,212,,3197,,777,,2410,,1564,,36.8,,2254,,493,,287,,71,,135,,1477,,1477,,630,
013300,4232,4145,3571,4041,55,3619,9,47,439,6,2,329,30,11,126,29,4038,109,194,4036,1898,1845,2334,2300,43.2,38.8,1887,1980,923,745,819,249,38,1235,66,904,735,306,735,306,702,255
015300,2040,2114,1460,2044,136,1441,15,262,318,8,1,266,29,9,81,58,1896,113,144,2001,966,1008,1074,1106,35.6,36.6,957,948,312,403,248,201,18,545,46,277,387,63,387,63,191,60
030600,2221,2132,1453,2065,39,1509,3,19,559,1,2,501,46,4,119,31,2045,143,176,1989,1125,1078,1096,1054,45.2,43.0,865,851,577,172,490,84,23,679,64,564,180,185,180,185,354,142
031100,6193,6278,3258,5951,192,3346,28,221,1957,27,29,1948,319,28,410,381,5081,1166,1112,5112,3166,3145,3027,3133,42,39.2,2462,2427,1388,659,1007,282,129,1768,252,1340,612,420,612,420,874,287
047701,4334,4618,1738,4455,84,2046,16,55,2185,16,3,2232,111,3,197,103,4039,258,295,4360,2104,2187,2230,2431,40.8,38.5,1869,1866,998,535,713,212,73,1331,212,1040,582,291,582,291,724,306
047702,3824,3946,1552,3827,69,1647,10,56,1970,11,3,2044,56,6,164,63,3639,152,185,3794,1783,1881,2041,2065,42.1,38.6,1554,1533,885,445,672,173,45,1088,168,864,473,242,473,242,641,265
016200,2541,2502,1701,2389,180,1628,16,250,391,19,7,337,129,14,117,141,2203,381,338,2121,1491,1527,1050,975,37.1,34.4,1594,1462,270,849,196,577,27,613,47,291,965,70,965,70,280,48
047801,4005,,1530,,46,,3,,2189,,3,,78,,156,,3782,,223,,1883,,2122,,43.9,,1634,,956,,726,,66,,164,,490,,490,,672,
013100,,6467,,6319,,5443,,102,,4,,690,,10,,70,,275,,6192,,3084,,3383,,36.3,,4060,,2312,,966,,1748,,1059,,172,,172,,379
026302,4992,4355,1169,4047,223,1237,17,110,2697,8,36,2101,593,29,257,562,3732,1067,1260,3288,2442,2107,2550,2248,40.2,37.9,1448,1281,1093,221,764,76,99,1060,230,955,238,327,238,327,656,235
025300,4362,4615,2965,4302,116,2647,40,197,497,31,18,558,471,11,255,858,3114,1712,1248,2903,2296,2423,2066,2192,37.3,35.7,1767,1771,783,535,551,284,92,1236,140,812,518,249,518,249,409,165
021300,2474,2402,1987,2285,21,1972,20,32,247,16,1,184,62,7,136,74,2278,188,196,2214,1275,1250,1199,1152,39.9,37.2,1171,1204,531,435,441,222,28,769,62,466,377,131,377,131,285,69
026403,4140,4112,456,3954,206,509,22,322,2909,9,37,2773,363,39,147,302,3469,523,671,3589,2048,2094,2092,2018,41.5,36.6,1062,1003,832,128,586,50,81,875,165,834,175,266,175,266,547,189
026401,4044,3733,337,3614,421,405,17,457,2558,17,53,2382,543,55,115,298,3248,549,796,3184,1984,1861,2060,1872,40,36.4,1016,891,853,97,563,44,83,794,207,760,117,263,117,263,541,178
010200,4143,4288,3518,4197,28,3710,6,33,419,4,6,424,28,3,138,23,3932,162,211,4126,1989,2055,2154,2233,38.9,38.3,2544,2767,705,1570,631,678,27,1197,47,774,1330,118,1330,118,735,313
026404,2851,2287,295,2203,527,213,23,554,1255,14,96,902,471,75,184,445,2021,632,830,1655,1411,1145,1440,1142,34,31.7,671,507,578,47,341,20,60,460,177,446,67,134,67,134,276,64
035202,4322,4436,2066,4261,80,2190,24,73,1827,14,19,1881,133,11,173,92,3942,301,380,4135,2175,2300,2147,2136,37.5,35.6,1764,1763,871,519,621,278,80,1244,170,898,542,265,542,265,526,176
016300,4293,4521,2428,4275,826,2425,23,1340,574,15,8,312,210,16,224,167,3743,418,550,4103,2285,2453,2008,2068,33.5,31.4,2047,2024,548,823,308,509,59,1201,181,575,893,94,893,94,403,80
018000,4221,2285,2104,2169,895,1046,50,670,720,27,18,247,222,9,212,170,3619,421,602,1864,2884,1614,1337,671,36.8,34.0,1499,494,397,248,343,172,25,246,29,133,781,27,781,27,123,14
980600,467,,69,,266,,6,,84,,1,,16,,25,,407,,60,,229,,238,,37.9,,154,,108,,42,,9,,57,,28,,28,,53,
011100,5164,5559,2721,5372,133,2825,18,128,1928,24,10,2247,157,7,197,141,4664,327,500,5232,2711,2929,2453,2630,37.8,36.8,3073,2930,748,1571,562,858,72,1359,114,859,1752,213,1752,213,857,248
012000,3833,3972,1992,3743,175,2253,29,141,1108,30,8,1082,272,16,249,221,3255,475,578,3497,2149,2359,1684,1613,36.4,35.3,2546,2572,394,1704,275,1092,56,868,63,468,1706,102,1706,102,564,232
011901,2408,,1481,,95,,16,,634,,7,,59,,116,,2188,,220,,1276,,1132,,37,,1395,,282,,226,,21,,35,,862,,862,,401,
011900,,5243,,5045,,3407,,135,,25,,1335,,18,,125,,415,,4828,,2700,,2543,,36.1,,3445,,2276,,1130,,1169,,652,,106,,106,,285
026004,4315,4010,1142,3793,52,1234,42,86,1990,16,18,1636,870,38,201,783,2694,1493,1621,2517,2188,1998,2127,2012,37.5,34.6,1144,1074,871,180,588,77,88,894,195,791,164,300,164,300,475,173
011902,2598,,1590,,58,,10,,708,,13,,106,,113,,2281,,317,,1301,,1297,,33.8,,1700,,333,,259,,25,,49,,1085,,1085,,298,
026002,3544,3680,1409,3503,143,1653,18,172,1196,13,19,1172,591,3,168,490,2357,1161,1187,2519,1682,1720,1862,1960,45.3,41.1,955,942,673,170,449,64,69,772,155,682,172,215,172,215,437,167
026003,4908,4826,1430,4549,131,1478,77,137,2117,39,24,1800,891,27,238,1068,2998,1914,1910,2912,2423,2327,2485,2499,38.8,35.6,1314,1279,988,209,663,81,111,1070,214,977,214,334,214,334,628,226
010900,4320,4506,3096,4384,41,3273,6,70,966,9,1,954,74,9,136,69,4054,195,266,4311,2020,2118,2300,2388,36.6,36.5,2628,2747,668,1499,555,643,40,1248,73,706,1391,96,1391,96,729,339
026001,5863,5549,1726,5298,119,1843,45,98,2190,20,21,2041,1456,37,306,1259,3049,2526,2814,3023,2878,2818,2985,2731,36.7,34.7,1519,1436,1136,249,738,111,130,1187,268,1085,220,379,220,379,636,249
032902,3831,,1055,,38,,5,,2582,,3,,53,,95,,3645,,186,,1820,,2011,,44.4,,1313,,934,,707,,65,,162,,254,,254,,639,
035100,7842,7756,2698,7485,90,3043,7,77,4687,5,10,4253,97,6,253,101,7414,354,428,7402,3818,3788,4024,3968,41.1,39.5,2718,2661,1797,584,1378,231,130,2077,289,1784,587,579,587,579,1138,525
020800,6577,7371,3371,6804,180,3524,118,185,889,132,8,1079,1604,25,407,1859,3231,4193,3346,3178,3791,4145,2786,3226,34.5,30.5,2543,2363,976,712,574,384,172,1651,230,1142,934,368,934,368,613,236
032900,,8452,,8209,,3002,,53,,7,,5081,,3,,63,,311,,8141,,4027,,4425,,41.3,,2942,,589,,194,,2353,,2062,,659,,659,,641
032901,5021,,1590,,48,,16,,3142,,5,,70,,150,,4771,,250,,2431,,2590,,43.7,,1700,,1218,,926,,82,,210,,317,,317,,836,
025403,4267,4487,1837,4201,328,1640,31,580,1094,21,33,1149,663,31,281,780,2673,1568,1594,2919,2016,2112,2251,2375,37.5,34.1,1436,1403,928,252,555,96,94,1151,279,947,297,264,297,264,490,181
025402,2912,3241,1472,3013,172,1374,27,251,688,21,17,906,330,26,206,435,2089,996,823,2245,1398,1527,1514,1714,40.4,36.9,1060,1077,641,253,422,108,54,824,165,657,248,191,248,191,404,158
025401,3404,3906,1942,3623,173,1796,16,234,437,25,24,609,538,21,274,938,2126,1686,1278,2220,1680,1932,1724,1974,38.1,33.7,1276,1309,669,327,411,149,70,982,188,721,343,205,343,205,384,116
016600,5069,5045,3971,4841,210,4001,22,357,473,36,8,318,98,10,287,119,4624,314,445,4731,2680,2786,2389,2259,33,31.4,2480,2466,660,962,510,586,47,1504,103,514,906,102,906,102,372,71
023101,,1231,,1197,,166,,577,,6,,292,,7,,149,,253,,978,,583,,648,,33.3,,341,,64,,26,,277,,245,,67,,67,,60
023102,3478,3600,303,3460,2172,230,23,2625,456,7,27,421,327,29,170,148,2913,321,565,3279,1549,1637,1929,1963,31.5,31.0,1222,1259,822,314,270,111,102,945,450,876,325,171,325,171,417,126
015700,7832,6875,4609,6608,398,4064,21,518,2062,25,21,1651,242,51,479,299,7011,567,821,6308,3523,3160,4309,3715,27.6,28.3,2575,2455,876,857,684,400,66,1598,126,863,939,205,939,205,607,250
022600,1534,846,1144,823,64,608,7,98,208,6,14,82,35,3,62,26,1402,60,132,786,873,492,661,354,37.3,35.8,815,456,268,222,238,150,11,234,19,121,320,19,320,19,76,21
017802,4516,,2384,,495,,38,,1064,,10,,301,,224,,3870,,646,,2879,,1637,,38,,2214,,524,,393,,59,,72,,1140,,1140,,430,
022802,2099,1762,1087,1635,123,775,30,117,400,27,10,262,303,12,146,442,1437,689,662,1073,1129,893,970,869,39.2,35.6,593,591,297,175,168,78,39,416,90,283,141,74,141,74,161,45
017800,,5829,,5556,,2343,,506,,44,,2321,,17,,325,,582,,5247,,3043,,2786,,47.6,,3115,,1814,,815,,1301,,866,,111,,111,,961
017801,3499,,986,,114,,4,,2268,,2,,33,,92,,3360,,139,,1472,,2027,,70.4,,2198,,635,,550,,22,,63,,1357,,1357,,1475,
021700,3948,4139,2441,3931,390,2500,20,504,727,22,8,753,125,8,237,144,3439,467,509,3672,1946,2047,2002,2092,46,42.6,1798,1851,956,585,689,256,63,1266,204,944,590,231,590,231,780,185
017700,2128,1777,1183,1659,108,944,27,50,299,7,11,325,385,11,115,322,1404,719,724,1058,1308,1048,820,729,35.2,32.5,744,667,245,218,162,152,39,449,44,267,247,76,247,76,131,47
035400,6691,6726,2385,6495,106,2562,32,116,3732,16,12,3684,129,13,295,104,6196,373,495,6353,3332,3242,3359,3484,42.2,39.0,2377,2331,1540,541,1160,228,123,1790,257,1524,534,518,534,518,1003,416
022803,4595,5178,2626,4826,72,2397,44,98,465,40,11,442,1107,15,270,1834,2170,3391,2425,1787,2416,2754,2179,2424,33.4,30.3,1531,1473,765,276,490,130,99,1197,176,879,356,307,356,307,364,133
025500,8471,7518,3129,7130,134,2960,43,106,3730,21,20,3129,994,20,421,894,5776,2209,2695,5309,4291,3676,4180,3842,40,37.7,2469,2253,1769,433,1194,164,188,1820,387,1561,420,500,420,500,1102,447
016700,4652,4701,3544,4501,265,3518,25,531,426,28,12,311,117,6,263,107,4188,392,464,4309,2577,2662,2075,2039,34.5,33.2,2277,2364,589,982,446,594,51,1382,92,546,884,119,884,119,311,92
012500,,7727,,7233,,2730,,1177,,117,,2799,,49,,361,,1004,,6723,,4929,,2798,,44.9,,4205,,2870,,2077,,1335,,1050,,262,,262,,492
012501,5335,,2233,,923,,75,,1297,,47,,504,,256,,4313,,1022,,3499,,1836,,46.6,,2205,,538,,346,,94,,98,,1494,,1494,,691,
012502,3821,,1028,,564,,44,,1551,,31,,420,,183,,3015,,806,,2339,,1482,,51.8,,2034,,509,,315,,87,,107,,1423,,1423,,1022,
042700,5326,5513,2494,5350,83,2889,25,70,2371,13,4,2286,117,7,232,85,4982,255,344,5258,2533,2577,2793,2936,40.7,37.7,2352,2374,1238,766,909,309,83,1608,246,1222,773,355,773,355,893,342
013200,4162,4436,3493,4369,47,3868,2,49,445,8,4,411,42,1,129,32,4003,135,159,4301,2013,2141,2149,2295,40.4,38.8,2260,2448,858,1213,763,563,25,1235,70,921,1106,258,1106,258,707,233
047802,3656,,1489,,61,,8,,1848,,16,,66,,168,,3440,,216,,1758,,1898,,41.6,,1497,,835,,624,,59,,152,,457,,457,,587,
015200,3934,3857,2535,3732,143,2624,11,188,993,12,7,848,75,5,170,55,3672,162,262,3695,1725,1825,2209,2032,40,38.1,2430,2391,574,1363,468,593,26,1028,80,578,1436,94,1436,94,872,354
047800,,7787,,7502,,3462,,96,,12,,3785,,17,,130,,323,,7464,,3724,,4063,,39.8,,3105,,862,,357,,2243,,1789,,508,,508,,505
026100,6810,5995,1258,5708,108,1436,40,94,4031,28,15,3399,1106,9,252,742,5002,1445,1808,4550,3283,2951,3527,3044,39.9,38.5,1877,1638,1409,300,971,114,134,1338,304,1213,300,391,300,391,936,349
011500,,759,,742,,165,,25,,6,,527,,9,,10,,26,,733,,488,,271,,51.9,,545,,421,,317,,124,,114,,20,,20,,105
060700,9083,676,4450,643,352,381,37,72,3541,8,7,164,274,0,422,18,8329,47,754,629,4888,426,4195,250,33.1,36.7,4381,243,1645,73,1340,53,105,170,200,117,1868,24,1868,24,591,19
010600,3894,4279,1437,4197,59,1434,6,42,2169,8,1,2663,103,2,119,48,3640,131,254,4148,2133,2289,1761,1990,42.6,39.9,2015,2049,710,1018,538,651,57,1031,115,773,1017,191,1017,191,763,236
061400,5395,,2844,,924,,34,,730,,132,,421,,310,,4483,,912,,2708,,2687,,35.4,,2354,,1163,,666,,101,,396,,672,,672,,481,
045100,4996,5102,2152,4915,103,2151,16,123,2336,5,12,2543,134,7,243,86,4660,208,336,4894,2420,2477,2576,2625,36,35.5,2150,2109,963,658,729,263,74,1451,160,1008,742,306,742,306,638,270
021100,3853,3833,3102,3675,46,3233,11,55,384,5,4,273,92,4,214,105,3503,334,350,3499,1968,1973,1885,1860,38.3,36.4,1863,1959,768,775,641,383,35,1184,92,650,642,200,642,200,468,130
025800,1960,1871,358,1755,160,378,7,244,1114,8,3,915,241,4,77,206,1533,423,427,1448,959,926,1001,945,40.7,37.1,572,542,398,110,265,49,27,432,106,389,125,113,125,113,264,104
023002,,2330,,2186,,271,,1112,,9,,357,,1,,436,,641,,1689,,1143,,1187,,30.7,,661,,161,,76,,500,,448,,112,,112,,101
060100,3235,2234,2589,2099,69,1707,12,103,256,17,21,169,72,35,216,68,2985,211,250,2023,1692,1202,1543,1032,30.1,27.8,1110,802,566,115,445,69,42,687,79,368,176,167,176,167,102,6
980900,350,,215,,38,,1,,30,,2,,47,,17,,269,,81,,211,,139,,37.8,,146,,43,,40,,2,,1,,61,,61,,20,
030700,6343,6367,3985,6050,194,4042,9,279,1601,12,1,1562,165,13,388,142,5737,479,606,5888,3268,3256,3075,3111,45.7,44.6,2651,2709,1615,710,1349,296,67,1999,199,1575,644,465,644,465,1147,482
031000,3494,3556,1982,3404,103,1942,12,199,1154,6,3,1152,83,2,157,103,3123,337,371,3219,1755,1740,1739,1816,45.6,41.0,1271,1281,886,256,691,104,55,1025,140,901,236,304,236,304,597,226
031300,,8201,,7903,,1585,,2349,,26,,3556,,31,,356,,732,,7469,,3982,,4219,,38.5,,2572,,483,,174,,2089,,1862,,559,,559,,482
016400,3778,3791,2565,3624,370,2527,19,665,373,27,8,293,220,16,223,96,3298,335,480,3456,1997,2050,1781,1741,33.4,31.8,1811,1814,432,739,306,432,52,1075,74,401,759,70,759,70,221,89
060900,,411,,407,,199,,135,,2,,26,,6,,39,,86,,325,,279,,132,,40.0,,73,,26,,21,,47,,35,,6,,6,,2
022903,3384,3942,1687,3679,69,1687,29,116,473,38,3,450,863,16,260,1372,1673,2345,1711,1597,1767,2058,1617,1884,34.7,30.7,1118,1128,559,197,340,100,69,931,150,676,256,224,256,224,310,110
015500,3622,3591,1725,3454,352,1691,13,639,1151,6,14,1057,208,4,159,57,3275,196,347,3395,1523,1522,2099,2069,45.7,43.9,2176,2102,533,1283,359,400,38,819,136,550,1379,67,1379,67,1162,668
022901,4640,4965,2193,4590,246,2592,56,108,362,61,32,287,1435,24,316,1518,1851,3564,2789,1401,2464,2676,2176,2289,31.6,29.5,1410,1260,786,202,392,101,130,1058,264,764,246,289,246,289,318,105
025100,3077,3249,2015,3010,158,1915,10,231,417,17,4,499,262,4,211,344,2358,737,719,2512,1588,1705,1489,1544,40.3,38.3,1269,1281,640,345,456,172,62,936,122,645,343,182,343,182,405,136
011000,4827,5029,2259,4903,78,1976,6,73,2252,8,4,2780,74,7,154,59,4601,141,226,4888,2270,2454,2557,2575,35.8,35.9,2475,2440,766,1113,591,549,54,1327,121,865,1122,202,1122,202,702,307
032601,4416,,1710,,70,,9,,2305,,4,,106,,212,,4123,,293,,2139,,2277,,36.8,,1728,,913,,683,,71,,159,,464,,464,,598,
012100,3833,3462,2171,3304,190,2084,42,116,1018,20,4,984,184,9,224,91,3336,257,497,3205,1879,1916,1954,1546,28.6,32.3,2194,2330,311,1570,220,850,27,760,64,343,1422,70,1422,70,360,142
032600,,8605,,8325,,3566,,98,,12,,4519,,7,,123,,354,,8251,,4134,,4471,,37.2,,3190,,792,,327,,2398,,1895,,577,,577,,469
026301,4875,4410,977,4261,45,1052,16,44,2972,32,2,2576,677,10,186,547,3506,1150,1369,3260,2435,2199,2440,2211,40.6,37.3,1273,1118,1007,172,691,79,90,946,226,875,172,324,172,324,652,212
026303,4551,4529,965,4283,81,1047,12,69,2637,7,17,2448,685,41,154,671,3324,1230,1227,3299,2286,2171,2265,2358,41,37.0,1233,1185,975,153,678,55,100,1032,197,958,180,349,180,349,605,215
020300,3034,3145,2208,2989,77,2365,20,113,368,15,5,288,202,6,154,202,2569,510,465,2635,1865,1933,1169,1212,37.8,35.6,1661,1705,333,780,234,532,41,925,58,319,735,49,735,49,311,89
021800,3840,3914,2987,3653,69,3011,16,94,390,19,1,299,144,13,233,217,3287,674,553,3240,1931,2019,1909,1895,40.9,38.4,1768,1805,846,591,660,278,55,1214,131,789,569,237,569,237,551,152
061000,3610,2400,547,2309,481,378,28,456,1996,1,15,1303,345,23,198,148,3015,309,595,2091,1834,1195,1776,1205,36.8,36.8,1150,643,807,104,558,55,79,539,170,489,231,165,231,165,388,90
012900,,5706,,5564,,4799,,47,,12,,623,,2,,81,,279,,5427,,2576,,3130,,33.9,,3651,,2110,,846,,1541,,807,,123,,123,,377
990100,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
015600,2728,2821,1597,2703,64,1637,6,90,819,3,5,917,73,6,164,50,2535,164,193,2657,1315,1355,1413,1466,34.7,33.5,1272,1300,499,476,387,234,35,824,77,501,436,133,436,133,345,144
023200,4582,4490,616,4282,1832,386,46,2617,628,47,58,490,1113,61,289,681,2802,1011,1780,3479,2295,2151,2287,2339,33.4,32.1,1228,1225,907,196,459,78,102,1029,346,933,249,224,249,224,482,217
031301,3826,,961,,696,,8,,1863,,8,,117,,173,,3540,,286,,1850,,1976,,40.9,,1261,,834,,552,,71,,211,,262,,262,,600,
015900,4350,4165,1767,3953,573,1828,6,709,1652,27,8,1243,141,4,203,142,3996,318,354,3847,2089,2093,2261,2072,37.4,36.3,2285,2172,805,1011,520,502,81,1161,204,774,1027,125,1027,125,776,301
031302,5495,,969,,843,,27,,2970,,31,,412,,243,,4791,,704,,2669,,2826,,36.3,,1777,,1145,,733,,122,,290,,382,,382,,678,
011800,1500,1528,124,1503,12,138,1,4,1327,0,0,1359,17,0,19,2,1462,10,38,1518,728,726,772,802,50.3,48.5,695,722,373,336,276,150,32,386,65,368,288,91,288,91,369,177
033203,3472,,1753,,233,,17,,1002,,6,,198,,263,,2978,,494,,1653,,1819,,29.9,,1478,,689,,438,,64,,187,,403,,403,,438,
032602,4316,,1507,,50,,5,,2516,,7,,48,,183,,4138,,178,,2073,,2243,,43.3,,1669,,976,,738,,83,,155,,477,,477,,801,
030302,3549,3471,1663,3350,22,1726,7,35,1610,10,2,1534,69,9,176,36,3323,127,226,3344,1735,1683,1814,1788,43.8,41.8,1374,1336,891,301,725,102,53,1035,113,874,322,289,322,289,579,250
012901,2557,,2084,,25,,6,,343,,3,,18,,78,,2398,,159,,1134,,1423,,32.9,,1562,,358,,292,,17,,49,,823,,823,,257,
012902,3376,,2684,,36,,5,,446,,4,,61,,140,,3141,,235,,1534,,1842,,32.8,,2023,,482,,399,,32,,51,,1085,,1085,,410,
030301,5658,5886,2878,5677,83,3204,12,93,2249,8,6,2285,128,5,302,82,5264,287,394,5599,2715,2822,2943,3064,40.1,38.0,2362,2431,1285,686,1029,266,94,1745,162,1271,649,376,649,376,864,336
